"name","type","tier","tier_name","Private_or_public","state","Female","Parents mean","Parentsq1","Parentsq5","Parentstop1pc","Kidsmean","Kidsq5","Kidstop1pc"
"""Concordia University of Irvine, CA""","2","6","Selective private","Private","CA","0.6620789335339421","131138.3081208541","0.0540939841268815","0.3896631901771138","0.0217363679098895","44780.79943382048","0.3300322851861725","0.0127150041211503"
"Contra Costa Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4893596487788934","108743.3619157828","0.0967917555688339","0.3409220630054503","0.0078492652448763","38786.84561605972","0.2543102281303816","0.0068426024490706"
"Copper Mountain College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4785214915043152","67192.23507443351","0.2226648939857623","0.1087389347755436","0.0027258706044078","31708.20901895941","0.2013618166274932","0.0005752511949776"
"Crimson Technical College","3","11","Two-year for-profit","NA","CA","0.108906543192525","47183.26101615608","0.2503355391274975","0.0903652330495736","0.0055235308121899","41296.77342876963","0.3829286211024423","0.0045169524938554"
"Cuesta College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4772751860632109","107517.488904146","0.1063613123672022","0.3109987464986167","0.0134688535235587","38964.53006165286","0.2527580554926663","0.0083682051110224"
"Dominican University Of California","2","6","Selective private","Private","CA","0.7372756377634545","163987.1139288617","0.0607119092192488","0.4101674700207632","0.0257606661523767","55005.75202519778","0.3977161175277483","0.0238397327984936"
"El Camino College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5045638128174773","70792.21628137954","0.2197596912077958","0.1735586773985074","0.0034022903817143","33298.01473075484","0.1891945344516802","0.0033882008750364"
"Fashion Institute Of Design & Merchandising","3","10","Four-year for-profit","NA","CA","0.892617263374475","130106.3759234352","0.1118489812096803","0.3147576140112404","0.0221840940691977","35981.48930964657","0.2214948876313584","0.0050088711803162"
"Feather River College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4737703847929531","81433.79261231377","0.1768251214515587","0.1890772764692492","0.0085359964436492","28948.29651492668","0.1652728440422147","0.0035344623758365"
"Foothill-Deanza Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4661425118857752","120318.385189057","0.1296421315494619","0.3412456352462185","0.0165735526239151","42251.74621319624","0.2802463420248599","0.0129716416752579"
"Fresno Pacific University","2","6","Selective private","Private","CA","0.6889783636443976","83954.31638416024","0.1007225275136226","0.1968955741741281","0.0038235999024279","43699.91889142105","0.3029393977283335","0.0058408197273654"
"Gavilan College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5223186650943108","96273.36366170018","0.1151008811477738","0.3124821255254964","0.0059015812123688","35232.76896499858","0.2073244150468449","0.0051179206960154"
"Glendale Career College","3","12","Less than two-year schools of any type","NA","CA","0.7509337334438812","53849.61800508721","0.3832779471078498","0.0628700696634303","0.0016438183012879","24112.40303264293","0.1062028643430657","0.000467356261093"
"Glendale Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5000955736214034","60158.27255041608","0.3235921165297047","0.1355971865661668","0.0031149169557921","37418.35056668262","0.2332913866881171","0.0060916688207095"
